,player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,games,minutes,minutes_per_game,minutes_pct,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
596,Srđan Babić,DF,Serbia,26,1996,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,8.0,8.0,1.0,0.0,16.0,0.0,0.0,,0.0,0.0,11.0,0.0,1,13.0,13.0,4.8,0,,0,1,13.0,2,1.0,0.0,0.0,0.0,0.0,1.05,0.1,0.1,0.1,0.57,1.98,10.0,16.0,62.5,231.0,66.0,2.0,4.0,50.0,5.0,6.0,83.3,3.0,6.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,
597,Stefan Mitrović,DF,Serbia,32,1990,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,8.0,13.0,1.0,0.0,22.0,0.0,0.0,,0.0,0.0,19.0,0.0,1,35.0,35.0,13.0,0,,0,1,35.0,2,1.0,0.0,2.0,-2.0,-5.14,-4.76,0.5,1.0,-0.6,-1.43,-0.13,18.0,21.0,85.7,313.0,111.0,7.0,8.0,87.5,8.0,9.0,88.9,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,2.0,0.0
598,Stephen Eustáquio,MF,Canada,25,1996,1.4,0,3,0,0.0,2.16,0.0,0.0,,19.8,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,4.0,2,2.0,2.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,2,6.0,6.0,0.0,6.0,4.32,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,8.0,17.0,69.0,23.0,1.0,109.0,1.0,1.0,100.0,0.0,2.0,76.0,2.0,2,125.0,63.0,46.3,2,63.0,0,0,,1,0.0,1.0,3.0,-2.0,-1.44,0.42,2.4,1.4,1.0,0.71,1.11,83.0,93.0,89.2,1443.0,497.0,40.0,41.0,97.6,29.0,29.0,100.0,12.0,17.0,70.6,0,0.2,0.3,-0.2,2.0,8.0,3.0,0.0,10.0,0,0,0,1,1,0,1,0.0,0.0,0,10.0,1.0,1.0,50.0
599,Steve Mandanda,GK,France,37,1985,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,28.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,,0.0,0.0,9.0,0.0,1,90.0,90.0,13.6,1,90.0,1,0,,6,0.0,0.0,1.0,-1.0,-1.0,-2.42,0.8,0.5,0.3,0.3,-0.24,19.0,31.0,61.3,414.0,303.0,2.0,2.0,100.0,15.0,15.0,100.0,2.0,14.0,14.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,
600,Steven Berghuis,MF,Netherlands,30,1991,2.2,0,5,0,0.0,2.25,0.0,0.0,,22.5,1.0,0,0,0.3,0.3,0.05,-0.3,-0.3,2.0,1,1.0,0.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0,3.0,1.59,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.53,1.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,10.0,84.0,49.0,2.0,141.0,1.0,4.0,25.0,1.0,1.0,109.0,11.0,4,200.0,50.0,41.7,1,78.0,0,3,41.0,1,2.0,2.0,1.0,1.0,0.45,-1.16,0.8,2.0,-1.2,-0.66,-0.59,97.0,131.0,74.0,1789.0,507.0,41.0,51.0,80.4,33.0,44.0,75.0,17.0,24.0,70.8,1,0.1,0.2,0.9,2.0,17.0,2.0,1.0,8.0,1,0,0,4,0,0,13,0.0,0.0,0,8.0,1.0,2.0,33.3
601,Steven Bergwijn,FW,Netherlands,25,1997,2.4,0,2,0,0.0,0.85,0.0,0.0,,15.5,0.0,0,0,0.5,0.5,0.25,-0.5,-0.5,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,1.0,0.0,0.0,2.0,0.85,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,5.0,45.0,36.0,4.0,85.0,1.0,4.0,25.0,4.0,2.0,74.0,22.0,4,213.0,53.0,44.4,3,56.0,0,1,45.0,1,2.0,2.0,2.0,0.0,0.0,-2.02,1.8,2.5,-0.7,-0.3,-0.05,64.0,72.0,88.9,679.0,79.0,46.0,51.0,90.2,10.0,11.0,90.9,2.0,3.0,66.7,0,0.0,0.3,0.0,0.0,2.0,1.0,0.0,2.0,1,0,0,2,4,0,0,0.0,0.0,0,4.0,0.0,0.0,
602,Steven Vitória,DF,Canada,35,1987,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3.0,3,1.0,2.0,0.0,3.0,3.0,100.0,0.0,4.0,2.0,2.0,0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,14.0,85.0,117.0,1.0,0.0,203.0,0.0,1.0,0.0,1.0,1.0,142.0,0.0,3,270.0,90.0,100.0,3,90.0,3,0,,0,0.0,2.0,7.0,-5.0,-1.67,,4.2,3.9,0.3,0.11,,160.0,186.0,86.0,2837.0,1119.0,77.0,83.0,92.8,66.0,70.0,94.3,16.0,30.0,53.3,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,1,0,0,6,5,0,0,0.0,0.0,0,18.0,4.0,2.0,66.7
603,Strahinja Pavlović,DF,Serbia,21,2001,2.6,1,2,1,50.0,0.77,0.38,0.5,1.0,10.0,0.0,0,0,0.2,0.2,0.08,0.8,0.8,7.0,2,4.0,3.0,0.0,3.0,6.0,50.0,3.0,6.0,1.0,5.0,1,8.0,7.0,0.0,2.0,0.77,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,14.0,71.0,101.0,17.0,3.0,186.0,2.0,3.0,66.7,4.0,3.0,120.0,3.0,3,235.0,78.0,87.0,3,78.0,2,0,,0,0.33,5.0,6.0,-1.0,-0.38,4.76,2.9,6.3,-3.4,-1.3,0.13,121.0,156.0,77.6,1987.0,944.0,55.0,66.0,83.3,54.0,66.0,81.8,8.0,17.0,47.1,0,0.0,0.1,0.0,0.0,15.0,0.0,0.0,13.0,2,0,0,6,4,0,1,0.0,0.0,0,18.0,12.0,2.0,85.7
604,Sultan Al-Ghanam,DF,Saudi Arabia,28,1994,1.4,0,2,0,0.0,1.43,0.0,0.0,,7.6,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2,2.0,3.0,0.0,1.0,0.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,5.0,19.0,25.0,26.0,3.0,68.0,0.0,2.0,0.0,4.0,1.0,36.0,2.0,3,126.0,42.0,46.7,1,87.0,0,2,20.0,0,1.0,0.0,3.0,-3.0,-2.14,-2.77,0.8,3.4,-2.6,-1.88,-1.63,34.0,52.0,65.4,489.0,245.0,23.0,27.0,85.2,9.0,14.0,64.3,2.0,8.0,25.0,0,0.1,0.1,-0.1,1.0,0.0,2.0,2.0,5.0,0,0,0,2,0,1,7,0.0,0.0,0,4.0,0.0,0.0,
605,Taha Yassine Khenissi,FW,Tunisia,30,1992,0.3,0,1,0,0.0,3.1,0.0,0.0,,23.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,3.0,4.0,2.0,8.0,0.0,0.0,,1.0,2.0,3.0,0.0,2,29.0,15.0,10.7,0,,0,2,15.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.59,0.85,2.0,6.0,33.3,27.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,,0,0.1,0.0,-0.1,1.0,1.0,0.0,0.0,0.0,1,0,0,3,1,0,0,0.0,0.0,0,0.0,1.0,2.0,33.3
